DATE	CLOSE	HIGH	LOW	VOLUME
30-APR-12	3885	3922	3859	4296459	
02-MAY-12	3880	3915	3857	3127464	
03-MAY-12	3920	3948	3874	3080823	
04-MAY-12	3909	3952	3885	2313354	
07-MAY-12	3853	3900	3825	1508802	
08-MAY-12	3770	3851	3755	2935654	
09-MAY-12	3700	3782	3666	2982119	
10-MAY-12	3732	3745	3658	3516968	
11-MAY-12	3760	3765	3703	3133930	
14-MAY-12	3660	3750	3655	1677313	
15-MAY-12	3650	3685	3627	2982854	
16-MAY-12	3661	3663	3555	4361761	
17-MAY-12	3620	3690	3600	3266178	
18-MAY-12	3545	3595	3542	2617794	
21-MAY-12	3602	3608	3546	2818774	
22-MAY-12	3650	3675	3615	2139678	
23-MAY-12	3566	3655	3566	1731669	
24-MAY-12	3632	3645	3586	2054193	
25-MAY-12	3610	3665	3583	2117307	
28-MAY-12	3591	3647	3582	673492	
29-MAY-12	3629	3630	3575	3181561	
30-MAY-12	3593	3625	3565	2742134	
31-MAY-12	3632	3632	3568	8499708	
01-JUN-12	3585	3617	3552	4524023	
04-JUN-12	3632	3649	3533	1964270	
05-JUN-12	3620	3661	3609	1239083	
06-JUN-12	3676	3676	3591	3810817	
07-JUN-12	3660	3707	3639	9427330	
08-JUN-12	3709	3710	3655	3644931	
11-JUN-12	3640	3675	3625	3497098	
12-JUN-12	3601	3655	3560	2535474	
13-JUN-12	3616	3616	3575	1638381	
14-JUN-12	3576	3625	3576	1033765	
15-JUN-12	3649	3649	3558	8339545	
18-JUN-12	3722	3738	3630	8265487	
19-JUN-12	3781	3781	3690	7586244	
20-JUN-12	3785	3787	3726	8605993	
21-JUN-12	3790	3829	3754	7413894	
22-JUN-12	3827	3865	3770	9426937	
25-JUN-12	3715	3860	3691	2736530	
26-JUN-12	3660	3715	3637	4397853	
27-JUN-12	3645	3709	3645	4089565	
28-JUN-12	3600	3668	3578	2757160	
29-JUN-12	3631	3709	3576	5304433	
02-JUL-12	3658	3674	3611	1761675	
03-JUL-12	3675	3701	3595	1935879	
04-JUL-12	3677	3747	3640	2568931	
05-JUL-12	3675	3698	3650	2103581	
06-JUL-12	3670	3718	3656	7064925	
09-JUL-12	3550	3700	3515	4834421	
10-JUL-12	3550	3588	3476	4142978	
11-JUL-12	3530	3555	3511	3370703	
12-JUL-12	3495	3575	3481	3720163	
13-JUL-12	3465	3519	3462	2562001	
16-JUL-12	3489	3505	3471	1304508	
17-JUL-12	3500	3533	3490	4402669	
18-JUL-12	3580	3580	3500	1950316	
19-JUL-12	3622	3681	3572	3678392	
20-JUL-12	3663	3670	3615	3631349	
23-JUL-12	3580	3636	3553	1785584	
24-JUL-12	3620	3620	3550	3100812	
25-JUL-12	3619	3635	3589	4801377	
26-JUL-12	3640	3650	3574	1106010	
27-JUL-12	3718	3798	3661	4027161	
30-JUL-12	3708	3745	3667	1509928	
31-JUL-12	3650	3752	3601	4264731	
01-AUG-12	3717	3717	3628	1577075	
02-AUG-12	3725	3750	3655	1029339	
03-AUG-12	3800	3801	3715	2449141	
06-AUG-12	3720	3805	3720	4217589	
07-AUG-12	3500	3748	3497	8632845	
08-AUG-12	3350	3531	3350	7990811	
10-AUG-12	3397	3400	3339	4025928	
13-AUG-12	3400	3438	3381	3802792	
14-AUG-12	3419	3430	3395	3011018	
15-AUG-12	3434	3434	3385	3204794	
16-AUG-12	3464	3464	3415	2628575	
17-AUG-12	3420	3480	3405	3381517	
20-AUG-12	3431	3467	3420	1979612	
21-AUG-12	3421	3458	3421	4251422	
22-AUG-12	3392	3430	3392	3294895	
23-AUG-12	3355	3450	3340	3593814	
24-AUG-12	3384	3389	3333	3330527	
27-AUG-12	3391	3398	3370	1125298	
28-AUG-12	3358	3411	3350	2837456	
29-AUG-12	3280	3377	3252	4049761	
30-AUG-12	3180	3298	3180	4553929	
31-AUG-12	3250	3250	3121	7379415	
03-SEP-12	3235	3265	3190	2101668	
04-SEP-12	3255	3266	3229	3015699	
05-SEP-12	3205	3255	3198	3719121	
06-SEP-12	3185	3230	3145	4064679	
07-SEP-12	3211	3211	3150	8308414	
10-SEP-12	3305	3339	3200	4480843	
11-SEP-12	3192	3322	3171	5825788	
12-SEP-12	3237	3249	3200	2491631	
13-SEP-12	3225	3255	3192	3533699	
14-SEP-12	3296	3333	3268	6534401	
17-SEP-12	3405	3406	3267	5231696	
18-SEP-12	3399	3425	3355	15518933	
19-SEP-12	3381	3402	3356	4635949	
20-SEP-12	3350	3402	3336	7365706	
21-SEP-12	3355	3376	3328	13760962	
25-SEP-12	3299	3370	3269	2987037	
26-SEP-12	3169	3311	3121	10476985	
27-SEP-12	3240	3246	3180	9143589	
28-SEP-12	3305	3308	3245	8717978	
01-OCT-12	3283	3319	3223	5653472	
02-OCT-12	3365	3380	3265	5323227	
03-OCT-12	3320	3374	3297	6834958	
04-OCT-12	3320	3340	3295	1583306	
05-OCT-12	3185	3339	3184	3568994	
08-OCT-12	3088	3217	3082	6018157	
09-OCT-12	3150	3155	3080	3291445	
10-OCT-12	3165	3175	3115	2293174	
11-OCT-12	3129	3185	3115	4819775	
12-OCT-12	3050	3126	3032	13211067	
15-OCT-12	3033	3050	3014	3415427	
16-OCT-12	3050	3055	3026	12326990	
17-OCT-12	3071	3093	3045	16308152	
18-OCT-12	3040	3070	3036	3413787	
19-OCT-12	2942	3050	2940	5386763	
22-OCT-12	2997	3010	2935	3385278	
23-OCT-12	3010	3017	2984	3260188	
24-OCT-12	3021	3037	3000	2031675	
25-OCT-12	2992	3050	2973	4429033	
26-OCT-12	2925	2983	2906	9657631	
29-OCT-12	2835	2950	2825	6917949	
30-OCT-12	2890	2904	2833	4882921	
31-OCT-12	2932	2969	2897	13498962	
01-NOV-12	2963	2963	2915	11777531	
02-NOV-12	3035	3035	2951	7097662	
05-NOV-12	3045	3099	3015	5487645	
06-NOV-12	3035	3088	3000	4689169	
07-NOV-12	3030	3047	2993	5115097	
08-NOV-12	3066	3066	3009	2147575	
09-NOV-12	3075	3086	3050	4478336	
12-NOV-12	3072	3095	3046	2010245	
13-NOV-12	3015	3075	2979	11224897	
14-NOV-12	2950	3035	2932	12678149	
15-NOV-12	2900	2978	2865	7731944	
16-NOV-12	2975	3000	2889	4726224	
19-NOV-12	3100	3113	2986	6234115	
20-NOV-12	3115	3125	3072	8183435	
21-NOV-12	3105	3117	3075	7382740	
22-NOV-12	3180	3181	3110	5635004	
23-NOV-12	3263	3263	3150	9916313	
26-NOV-12	3265	3291	3220	5535601	
27-NOV-12	3218	3287	3205	7214575	
28-NOV-12	3177	3220	3145	7892112	
29-NOV-12	3205	3239	3181	9935551	
30-NOV-12	3170	3247	3170	13850655	
03-DEC-12	3147	3201	3122	3784169	
04-DEC-12	3111	3197	3080	3668220	
05-DEC-12	3120	3159	3111	9629622	
06-DEC-12	3100	3150	3094	8774787	
07-DEC-12	3094	3136	3030	8844837	
10-DEC-12	2999	2999	2946	5558555	
11-DEC-12	2963	3027	2963	3093818	
12-DEC-12	3004	3024	2967	6370989	
13-DEC-12	3099	3121	3000	5131572	
14-DEC-12	3156	3213	3103	5013385	
18-DEC-12	3176	3200	3151	10222363	
19-DEC-12	3179	3188	3141	14264272	
20-DEC-12	3215	3215	3160	6162349	
21-DEC-12	3195	3215	3175	3365551	
24-DEC-12	3200	3200	3180	562127	
27-DEC-12	3239	3245	3167	1042282	
28-DEC-12	3232	3248	3221	1108109	
31-DEC-12	3220	3240	3200	1067954	
02-JAN-13	3214	3246	3174	5124930	
03-JAN-13	3254	3260	3175	4100965	
04-JAN-13	3259	3283	3240	2517808	
07-JAN-13	3280	3290	3261	1175842	
08-JAN-13	3303	3311	3219	2152776	
09-JAN-13	3300	3318	3268	4513995	
10-JAN-13	3269	3319	3269	7922375	
11-JAN-13	3230	3299	3226	4721715	
14-JAN-13	3148	3298	3131	6423899	
15-JAN-13	3044	3172	3044	7419094	
16-JAN-13	3030	3085	2975	8572136	
17-JAN-13	3058	3101	3026	4751492	
18-JAN-13	3025	3100	3025	6161337	
21-JAN-13	3096	3109	3042	5136241	
22-JAN-13	3058	3104	3050	2099614	
23-JAN-13	3011	3080	3010	3088308	
24-JAN-13	3043	3067	3006	2290503	
25-JAN-13	3130	3135	3036	3700306	
28-JAN-13	3120	3138	3099	3333511	
29-JAN-13	3138	3138	3090	3582789	
30-JAN-13	3180	3200	3121	6808802	
31-JAN-13	3085	3192	3064	11790669	
01-FEB-13	3105	3120	3090	4275481	
04-FEB-13	3040	3118	3012	8077749	
05-FEB-13	3030	3060	3011	5916111	
06-FEB-13	3075	3118	3029	2494475	
07-FEB-13	3060	3100	3037	2838266	
08-FEB-13	3050	3085	2865	33334647	
11-FEB-13	3036	3080	2980	4947969	
12-FEB-13	3055	3064	3030	2582947	
13-FEB-13	3103	3124	3061	9795662	
14-FEB-13	3170	3170	3089	4376081	
15-FEB-13	3091	3170	3075	10827676	
18-FEB-13	3023	3115	2996	15500410	
19-FEB-13	3000	3065	2977	11834233	
20-FEB-13	3008	3038	2981	3130833	
21-FEB-13	2905	2989	2900	13317443	
22-FEB-13	2945	2960	2901	5420445	
25-FEB-13	2920	2991	2906	3950359	
26-FEB-13	2911	2925	2872	6084260	
27-FEB-13	2869	2937	2861	9377172	
28-FEB-13	2880	2909	2855	4830462	
01-MAR-13	2890	2919	2852	3291516	
04-MAR-13	2861	2925	2826	3466331	
05-MAR-13	2920	2939	2812	14272220	
06-MAR-13	2885	2970	2879	6668716	
07-MAR-13	2870	2938	2852	3583254	
08-MAR-13	2864	2910	2855	4623392	
11-MAR-13	2855	2898	2829	3598112	
12-MAR-13	2888	2900	2862	2682656	
13-MAR-13	2889	2953	2875	1852858	
14-MAR-13	2942	2951	2876	8704468	
15-MAR-13	3045	3045	2944	12096185	
18-MAR-13	2960	3019	2946	3352495	
19-MAR-13	2966	3000	2940	1604290	
20-MAR-13	2981	2990	2960	2345966	
22-MAR-13	3020	3024	2960	11043789	
25-MAR-13	3082	3117	3020	6069691	
26-MAR-13	3100	3145	3032	5659496	
27-MAR-13	3010	3112	2983	3705507	
28-MAR-13	3029	3042	2978	8037412	
02-APR-13	2998	3035	2977	4116048	
03-APR-13	2952	3023	2911	2218383	
04-APR-13	2885	2950	2880	4695185	
05-APR-13	2850	2900	2847	6135505	
08-APR-13	2825	2880	2816	2343950	
09-APR-13	2845	2880	2800	2834177	
10-APR-13	2860	2885	2850	3796078	
11-APR-13	2860	2890	2837	1556586	
12-APR-13	2815	2889	2787	4344811	
15-APR-13	2755	2813	2708	7513558	
16-APR-13	2775	2798	2766	2397178	
17-APR-13	2717	2815	2717	4342984	
18-APR-13	2719	2744	2703	2430159	
19-APR-13	2744	2765	2716	12290861	
22-APR-13	2759	2766	2739	4296382	
23-APR-13	2778	2802	2750	3632383	
24-APR-13	2792	2800	2771	1873674	
25-APR-13	2805	2879	2793	2963405	
26-APR-13	2820	2875	2781	4668422	
29-APR-13	2820	2850	2819	1664629	
30-APR-13	2849	2850	2781	3131227	
02-MAY-13	2899	2920	2824	4009361	
03-MAY-13	2390	2590	2360	30177378	
06-MAY-13	2274	2419	2224	15444559	
07-MAY-13	2136	2277	2136	19893791	
08-MAY-13	2300	2382	2161	28163817	
09-MAY-13	2270	2369	2231	9822033	
10-MAY-13	2260	2299	2233	4404864	
13-MAY-13	2220	2270	2189	8813800	
